folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Questionnaires/SHHS2/Quality Of Life,ql203c,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits lifting or carrying groceries,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? (Check one box for each question.) C. Lifting or carrying groceries.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203d,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits climbing several flights of stairs,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? (Check one box for each question.) d. Climbing several flights of stairs.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203e,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits climbing one flight of stairs,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? (Check one box for each question.) e. Climbing one flight of stairs.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203f,"Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits bending, kneeling, or stooping","3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? (Check one box for each question.) f. Bending, kneeling, or stooping",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203g,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits walking more than a mile,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? (Check one box for each question.) g. Walking more than a mile.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203h,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits walking several blocks,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much?  (Check one box for each question.)  h. Walking several blocks.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203i,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits walking one block,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much?  (Check one box for each question.)  i. Walking one block.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql203j,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits bathing and dressing,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much?  (Check one box for each question.)  j. Bathing and dressing yourself.",choices,"",lotlitn,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql204a,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits time on work,"4. During the past four weeks, have you had any of the following problems with your work or other regular daily activities as a result of your PHYSICAL HEALTH? a. Cut down on the amount of time you spent on work or other activities.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql204b,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits accomplishment,"4. During the past four weeks, have you had any of the following problems with your work or other regular daily activities as a result of your PHYSICAL HEALTH?  b. Accomplished less than you would like.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql204c,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limits kind of work or activities,"4. During the past four weeks, have you had any of the following problems with your work or other regular daily activities as a result of your PHYSICAL HEALTH? c. Were limited in the kind of work or other activities you were able to do.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql204d,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health causes difficulty performing work,"4. During the past four weeks, have you had any of the following problems with your work or other regular daily activities as a result of your PHYSICAL HEALTH? d. Had difficulty performing the work or other activities. (For example, it took extra effort).",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql205a,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Emotional problems limit time on work,"5. During the past four weeks, have you had any of the following problems with regular daily activities as a result of EMOTIONAL PROBLEMS (such as feeling depressed or anxious)?  (Please check either Yes or No for each question) a. Cut down on the amount of time you spent on work or other activities.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql205b,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Emotional problems limit accomplishment,"5. During the past four weeks, have you had any of the following problems with regular daily activities as a result of EMOTIONAL PROBLEMS (such as feeling depressed or anxious)?  (Please check either Yes or No for each question) b. Accomplished less than you would like.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql205c,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Emotional problems limit being careful,"5. During the past four weeks, have you had any of the following problems with regular daily activities as a result of EMOTIONAL PROBLEMS (such as feeling depressed or anxious)?  (Please check either Yes or No for each question.) c. Didn't do work or other activities as carefully as usual.",choices,"",noyes01,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql206,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health or emotional problems limit social activities,"6. During the past four weeks, to what extent has your physical health or emotional problems interfered with your normal social activities with family, friends, neighbors, or groups? (Check one box.)",choices,"",notextr5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql207,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): bodily pain,7. How much bodily pain have you had during the past four weeks? (Check one box.),choices,"",nonvsev6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql208,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Pain interferes with work,"8. During the past four weeks, how much did pain interfere with your normal work (including both work outside the home and housework? (Check one box.)",choices,"",notextr5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209a,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Feel full of pep,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. a. Did you feel full of pep?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209b,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Been a very nervous person,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. b. Have you been a very nervous person?",choices,"",allnone6,anxiety,"","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209c,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Felt down in the dumps,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. c. Have you felt so down in the dumps that nothing could cheer you up?",choices,"",allnone6,depression;depressed,"","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209d,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Felt calm and peaceful,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. d. Have you felt calm and peaceful?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209e,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Have a lot of energy,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. e. Did you have a lot of energy?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209f,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Felt downhearted and blue,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. f. Have you felt downhearted and blue?",choices,"",allnone6,depression;depressed,"","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209g,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Felt worn out,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. g. Did you feel worn out?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209h,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Been a happy person,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. h. Have you been a happy person?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql209i,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Felt tired,"9. These questions are about how you feel and how things have been with you during the past 4 weeks.  For each question, check the box for the one answer that comes closest to the way you have been feeling.  During the past 4 weeks, how much of the time. i. Did you feel tired?",choices,"",allnone6,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql210,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health limited your social activities,"10. During the past 4 weeks, how much of the time has your health limited your social activities (like visiting with friends or close relatives)? (Check one box.)",choices,"",allnone5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql211a,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Get sick easier than other people,11. Please choose the answer that best describes how true or false each of the following statements is for you.  a. I seem to get sick a little easier than other people.,choices,"",trufals5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql211b,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): As healthy as anybody,11. Please choose the answer that best describes how true or false each of the following statements is for you.  b. I am as healthy as anybody I know.,choices,"",trufals5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql211c,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Expect health to get worse,11. Please choose the answer that best describes how true or false each of the following statements is for you.  c. I expect my health to get worse.,choices,"",trufals5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/Quality Of Life,ql211d,Quality of Life (QOL) (Sleep Heart Health Study Visit Two (SHHS2)): Health is excellent,11. Please choose the answer that best describes how true or false each of the following statements is for you.  d. My health is excellent.,choices,"",trufals5,"","","",shhs2_quality_of_life_sf_36_form
Questionnaires/SHHS2/SAQLI,saqli,The Short Sleep Apnea Quality of Life Index (SAQLI) Score,The Short Sleep Apnea Quality of Life Index (Short SAQLI) score,numeric,"","","","",true,""
Questionnaires/SHHS2/SF-36,bp_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Pain Index Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,gh_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): General Health Perceptions Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,mcs_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Mental Component Scale Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,mh_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Mental Health Index Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,pcs_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Physical Component Scale Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,pf_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Physical Functioning Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawbp_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Pain Index Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawgh_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): General Health Perceptions Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawmh_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Mental Health Index Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawpf_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Physical Functioning Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawre_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Role-Emotional Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawrp_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Role-Physical Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawsf_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Social Functioning Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rawvt_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Vitality Raw Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,re_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Role-Emotional Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,rp_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Role-Physical Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,sf_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Social Functioning Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/SF-36,vt_s2,Short Form 36 Health Survey (SF-36) Calculated (Sleep Heart Health Study Visit Two (SHHS2)): Vitality Standardized Score,"",numeric,"","",sf36;qol;quality of life,"","",""
Questionnaires/SHHS2/Sleep Habits,formdate_sh,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Date completed,Date of Sleep Habits form,numeric,days from index date,"","","","",""
Questionnaires/SHHS2/Sleep Habits,lengpmnap,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Total nap time,"",numeric,minutes,"","","","",""
Questionnaires/SHHS2/Sleep Habits,sh304,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): number of naps per week,"4. During a usual week, how many times do you nap for 5 minutes or more?",choices,"",none1,frequency,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh304a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Number of 5+ minute naps during week,a. Number of times during a usual week that you nap for 5 minutes or more:,numeric,naps,"",frequency,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh305,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Regular nap every afternoon,"5. Do you try to ""make time"" in your schedule for a regular nap or ""siesta"" in the afternoon? (check one)",choices,"",nvevry4,daily,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh307a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Nap due to not enough sleep at night,7. What are your reasons for regular napping in the afternoon? (check all that apply)  a. I do not get enough sleep at night.,choices,"",check,insufficient,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh307b,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Nap due to illness or medical reason,7. What are your reasons for regular napping in the afternoon? (check all that apply)  b. I nap due to an illness or for medical reasons.,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh307c,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Nap to feel refreshed,7. What are your reasons for regular napping in the afternoon? (check all that apply)  c. I nap because it makes me feel refreshed in general.,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh307d,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Other reason for nap,7. What are your reasons for regular napping in the afternoon? (check all that apply)  d. Other (please explain).,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of trouble falling asleep,8. Please indicate how often you experience each of the following.  (check one box for each in items a through j)  a. Have trouble falling asleep.,choices,"",nevralw5,insomnia,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308b,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of waking up and having difficulty resuming sleep,8. Please indicate how often you experience each of the following. (check one box for each in items a through j) b. Wake up during the night and have difficulty getting back to sleep.,choices,"",nevralw5,insomnia,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308c,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of waking up too early and unable to resume sleep,8. Please indicate how often you experience each of the following. (check one box for each in items a through j) c. Wake up too early in the morning and be unable to get back to sleep.,choices,"",nevralw5,insomnia,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308d,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of feeling unrested,"8. Please indicate how often you experience each of the following. (check one box for each in items a through j) d. Feel unrested during the day, no matter how many hours of sleep you had.",choices,"",nevralw5,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308e,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of excessive daytime sleepiness,8. Please indicate how often you experience each of the following. (check one box for each in items a through j) e. Feel excessively (overly) sleepy during the day.,choices,"",nevralw5,eds,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308f,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of not getting enough sleep,8. Please indicate how often you experience each of the following. (check one box for each in items a through j) f. Do not get enough sleep.,choices,"",nevralw5,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308g,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of taking sleeping pills,8. Please indicate how often you experience each of the following. (check one box for each in items a through j)  g. Take sleeping pills or other medication to help you sleep.,choices,"",nevralw5,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308h,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of nasal stuffiness at night,"8. Please indicate how often you experience each of the following. (check one box for each in items a through j)  h. Nasal stuffiness, obstruction or discharge at night.",choices,"",nevralw5,congestion,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308i,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of Leg jerks,8. Please indicate how often you experience each of the following. (check one box for each in items a through j)  i. Leg jerks.,choices,"",nevralw5,rls;willis -ekbom disease;restless legs,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh308j,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of Leg cramps,8. Please indicate how often you experience each of the following. (check one box for each in items a through j)  j. Leg cramps.,choices,"",nevralw5,rls;willis -ekbom disease;restless legs,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh309,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Ever snored,"Questions 9 through 15 are about snoring and breathing during sleep. To answer these questions, please consider both what others have told you AND what you know about yourself. 9. Have you ever snored (now or at any time in the past)?",choices,"",yesnod,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh310,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of snoring,"Questions 9 through 15 are about snoring and breathing during sleep. To answer these questions, please consider both what others have told you AND what you know about yourself.  10. How often do you snore now? (check one)",choices,"",snore6,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh311,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Loudness of snoring,"Questions 9 through 15 are about snoring and breathing during sleep. To answer these questions, please consider both what others have told you AND what you know about yourself.  11. How loud is your snoring? (check one)",choices,"",snrloud5,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh312,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Changes in snoring,"Questions 9 through 15 are about snoring and breathing during sleep. To answer these questions, please consider both what others have told you AND what you know about yourself.  12. Has your snoring been: (check one)",choices,"",incdec4,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh313,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Surgery for snoring,"To answer these questions, please consider both what others have told you AND what you know about yourself.  13. Have you ever had somnoplasty, laser treatment, or surgery as treatment for your snoring?",choices,"",noyes01,uppp;uvulopalatopharyngoplasty,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh314,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Stop breathing during sleep,"Questions 9 through 15 are about snoring and breathing during sleep. To answer these questions, please consider both what others have told you AND what you know about yourself.  14. Are there times when you stop breathing during your sleep?ng",choices,"",yesnod,apnea,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh315,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of stopping breathing during sleep,"To answer these questions, please consider both what others have told you AND what you know about yourself.  15. How often do you have times when you stop breathing during your sleep?",choices,"",raralw5,ahi,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh316,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Frequency of being household members in or near sleeping area,"16. During the past year, how often have one or more members of your household been in or near the room where you have slept?",choices,"",nevrusu3,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh317,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Doctor of Medicine (MD) diagnosed sleep disorder,17. Have you ever been told by a doctor that you have a sleep disorder (other than sleep apnea)?,choices,"",noyes01,"","",true,shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh318a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Doctor of Medicine (MD) Diagnosed Insomnia,Have you ever been told by a doctor that you have a sleep disorder (other than sleep apnea)?  18. What other sleep disorder? (check all that apply) a. Insomnia,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh318b,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Doctor of Medicine (MD) Diagnosed Restless legs,Have you ever been told by a doctor that you have a sleep disorder (other than sleep apnea)?  18. What other sleep disorder? (check all that apply) b. Restless legs,choices,"",check,rls;willis -ekbom disease,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh318c,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Doctor of Medicine (MD) Diagnosed Narcolepsy,Have you ever been told by a doctor that you have a sleep disorder (other than sleep apnea)?  18. What other sleep disorder? (check all that apply) c. Narcolepsy,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh318d,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Doctor of Medicine (MD) Diagnosed Other sleep disorder,Have you ever been told by a doctor that you have a sleep disorder (other than sleep apnea)?  18. What other sleep disorder? (check all that apply) d. Other: please specify,choices,"",check,"","","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh320,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Smoke 20 packs of cigarettes in life,20. Have you smoked as many as 20 packs of cigarettes in your whole lifetime?,choices,"",noyes01,smoking,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh321,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Number of years since started smoking,21. How many years ago did you START smoking?,numeric,years,"",cigarettes,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh322,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Did not smoke for a year while smoker,"22. Since you began smoking, was there ever a period of one year or more that you did NOT smoke?",choices,"",noyes01,cigarettes;smoking,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh322a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Number of years did not smoke,"22a. If ""Yes"" how many years did you NOT Smoke?",numeric,years,"",cigarettes;smoking,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh323,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Current smoker,23. Are you currently still smoking?,choices,"",noyes01,cigarettes;smoking,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh323a,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Years since stopped smoking,"23a. If ""No"" how many years ago did you STOP smoking?",numeric,years,"",cigarettes,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh324,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Average number of cigarettes/day,"24. On average, during the entire time you smoked, how many cigarettes did you usually smoke per day?",numeric,cigarettes,"",smoking,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh325,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Cups of coffee per day,"25. On a typical day, how many cups of regular coffee (with caffeine) do you drink?",numeric,cups,"",caffeine,"","",shhs2_sleep_habits_questionnaire
Questionnaires/SHHS2/Sleep Habits,sh326,Sleep Habits (Sleep Heart Health Study Visit Two (SHHS2)): Cups of tea per day,26. How many cups of regular tea (with caffeine) do you drink on a typical day?,numeric,cups,"",caffeine,"","",shhs2_sleep_habits_questionnaire
